id,name,TrackingID
20003,realestateexceltest,NULL
20004,test,NULL
20004,test2,NULL
20006,SerpentiniChevrolet1,NULL
20006,SerpentiniChevrolet2,NULL
20006,SerpentiniChevroletSSL,NULL
20007,CapeTest,NULL
20007,RestaurantDemo,NULL
20008,KTTC300,NULL
20008,LTV300Test,NULL
20009,300x250IBV,
20009,test,NULL
20009,TestRealEstate,NULL
20010,TESTCustom,NULL
20011,DEMO1,NULL
20011,Leaderboard,NULL
20011,Rectangle,NULL
20012,CampaignName,NULL
20012,IBV,NULL
20012,ibv2,NULL
20012,NonExpandCarousel,
20012,test,NULL
20013,ColdWaterCreek120600,NULL
20013,ColdWaterCreek160600,NULL
20013,ColdWaterCreek160x600,NULL
20013,ColdWaterCreek300x250,NULL
20013,ColdWaterCreek72890,NULL
20013,ColdwaterSaleOctober,NULL
20014,LiqWebsiteDemoVid,NULL
20014,LiqWebsiteDemoVid2,NULL
20015,LeaderDemo,NULL
20015,RadioTest,NULL
20015,RectDemo,NULL
20015,SkyDemo,NULL
20016,ExpandRight,NULL
20016,GodivaDemo,NULL
20016,leader,NULL
20016,leaderDemo,NULL
20016,SkyScraper,NULL
20016,WideSky,NULL
20017,RealEstateLeaderboard,NULL
20017,RealEstateRectangle,NULL
20017,RealEstateSkyscraper,NULL
20017,TestDFP,NULL
20018,testingtest,NULL
20019,Allen,NULL
20019,Nashua728opensdown,NULL
20020,KHQA,NULL
20021,King5,NULL
20022,728DEMO,NULL
20022,DEMOCarousel,NULL
20022,democarouselnocat,NULL
20022,KTVK,NULL
20023,WLEX,NULL
20024,KFOR,NULL
20024,Test,NULL
20025,wcpo,NULL
20026,Narrow,NULL
20026,T1,NULL
20026,T2,NULL
20026,T3,NULL
20026,T4,NULL
20026,Test,NULL
20026,Test2,NULL
20026,Wide,NULL
20027,CustomDemo,NULL
20027,CustomDemoLeader,NULL
20027,CustomDemoRec,NULL
20029,Leaderboard,NULL
20029,MedRect,NULL
20029,NarrowSky,NULL
20029,WideSky,NULL
20030,TEST,NULL
20031,new,NULL
20031,SIllTerHar,NULL
20032,BudgetCarTruck,NULL
20035,AlpineBuick,NULL
20036,ScarffFord,NULL
20037,WilderHonda,NULL
20038,Haselwood300x250NF,_BL6b81708__
20038,Haselwood300x250NonFlash,_BL12D9ECFA3AB__
20038,HaselwoodAS3,
20038,HaselwoodAutoGroup,
20039,WhidbeyIsland,NULL
20041,MillenniumMotors,NULL
20042,HondaofKirkland,NULL
20042,HondaofKirklandCarousel,NULL
20043,FirstTest,NULL
20043,secondtest,NULL
20044,Seattle,NULL
20045,15-Dec,NULL
20045,bjork,NULL
20045,c1,NULL
20045,colehaan1,NULL
20045,colehaanleaderdemo,NULL
20045,colehaanleaderdemo2,NULL
20045,colehaanrectdemo,NULL
20045,colehaanwidesky,NULL
20045,iannewtag,NULL
20045,iannewtag2,NULL
20045,ibv,NULL
20045,test,NULL
20045,test66,NULL
20045,vpaid,
20045,x3,NULL
20047,Edmunds,NULL
20048,KATC,NULL
20049,ibv,
20049,moosejawleaderboard,NULL
20049,moosejawmedrect,NULL
20049,moosejawwidesky,NULL
20049,test,NULL
20050,gg,
20050,tigerdirectleaderboard,NULL
20050,tigerdirectmedrect,NULL
20050,tigerdirecttest,NULL
20050,tigerdirectwidesky,NULL
20051,swisscolonytest,NULL
20051,swisscolonytest2,NULL
20051,swisscolonytest3,NULL
20051,swisscolonytest4,NULL
20052,CarouselNocat,NULL
20052,ikealeaderboard,NULL
20052,ikeamedrect,NULL
20052,ikeamedrect2,NULL
20052,ikeatest,NULL
20052,ikeawidesky,NULL
20052,PPD970x66,NULL
20053,coldwatercreekleader,NULL
20053,coldwatercreekmedrect,NULL
20053,coldwatercreekwidesky,NULL
20053,cwctest,NULL
20053,cwctest1,NULL
20054,landsendleaderboard,NULL
20054,landsendmedrect,NULL
20054,landsendtest,NULL
20054,landsendwidesky,NULL
20056,MartinChevrolet300x250,NULL
20056,MartinChevrolet728x90,NULL
20057,WillTiesiera,NULL
20058,HedricksChevrolet,NULL
20059,MercedesBenzFresno,NULL
20060,RentalGuideMagazine,NULL
20061,charter,NULL
20062,ExtremeMotors,NULL
20063,KrugHilltopFordLincolnMercury1,NULL
20063,KrugHilltopFordLincolnMercury2,NULL
20063,KrugHilltopFordLincolnMercury3,NULL
20064,RaySkillmanDiscount,NULL
20064,SkillmanDiscountChevy,NULL
20065,RaySkillmanAutoCenter,NULL
20065,SkillmanAutoCenter,NULL
20066,FoxMotors,NULL
20067,BergerMotorSales,NULL
20068,TeamOneChevrolet,NULL
20068,TeamOneChevroletEastLansing300x250ROS,NULL
20068,TeamOneChevroletLansing300x250ROS,NULL
20070,1601,NULL
20070,1602,NULL
20070,160600,NULL
20070,160600noexpand,NULL
20070,300x250NonFlash,_BLf78ca96__
20070,300x600,
20070,728x90yahoo,NULL
20070,ABTesting,NULL
20070,carouselnocat,NULL
20070,ComcastFoxNewsClicktoExpand,NULL
20070,Hartlan300x250,NULL
20070,HartlanIBV,NULL
20070,HartlanLeaderboard,NULL
20070,HartlanNew300,NULL
20070,HartlanRectangle,NULL
20070,IBVOnly,_BLab3a2d1__
20070,Mobile,_BL9fa1200__
20070,NonExpandCarousel,NULL
20070,TestLeaderboard247RealMedia,NULL
20070,TestNarrowSky247RealMedia,NULL
20070,TestRectangle247RealMedia,NULL
20070,TestWideSky247RealMedia,NULL
20072,JEFFTEST2,NULL
20072,jefftest72890,NULL
20073,chitriboctober,NULL
20076,charter160,NULL
20076,charter300,NULL
20076,charter728,NULL
20077,Radio,NULL
20077,Radio120,NULL
20077,Radio300,NULL
20079,ACAcars,NULL
