Id, Name, TrackingID, Creative, Clicks, Impressions, DateStamp
26756, 300x250, _BL4a96211__, 26756_Moraine_Valley_Community College_4.1.17_300x250_Desktop_BL4a96211__, 38, 110003, 4/1/2017 12:00:00 AM
26756, 300x250, _BL4a96211__, 26756_Moraine_Valley_Community College_4.1.17_728x90_Desktop_BL4a96211__, 15, 95160, 4/1/2017 12:00:00 AM
26756, 300x250, _BL4a96211__, 26756_Moraine_Valley_Community_College_4.1.17_320x50_Mobile_BL4a96211__, 26, 42375, 4/1/2017 12:00:00 AM
28347, 300x250, _BL7b2611e__, 28347_St._Croix_Casino_4.10.17_300x250_BL7b2611e__, 27, 10895, 4/10/2017 12:00:00 AM
28347, 300x250, _BL7b2611e__, 28347_St._Croix_Casino_4.10.17_320x50_BL7b2611e__, 69, 28515, 4/10/2017 12:00:00 AM
28347, 300x250, _BL7b2611e__, 28347_St._Croix_Casino_4.7.17_300x250_BL7b2611e__, 128, 75815, 4/7/2017 12:00:00 AM
28347, 300x250, _BL7b2611e__, 28347_St._Croix_Casino_4.7.17_320x50_BL7b2611e__, 262, 93138, 4/7/2017 12:00:00 AM
28472, 300x250, _BL5b068e9__, 28472_Eden_Prairie_Center_3.27.17_300x250_Desktop_BL5b068e9__, 8, 24822, 4/1/2017 12:00:00 AM
28472, 300x250, _BL5b068e9__, 28472_Eden_Prairie_Center_3.27.17_320x50_BL5b068e9__, 50, 37771, 4/1/2017 12:00:00 AM
28472, 300x250, _BL5b068e9__, 28472_Eden_Prairie_Center_3.27.17_728x90_Desktop_BL5b068e9__, 4, 11439, 4/1/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_160x600_Guest_BL3af2c3c__, 0, 157, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_160x600_RampUp_BL3af2c3c__, 0, 55, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_300x250_Guest_BL3af2c3c__, 0, 458, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_300x250_RampUp_BL3af2c3c__, 0, 330, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_320x50_Guest_BL3af2c3c__, 0, 1147, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_320x50_RampUp_BL3af2c3c__, 3, 1035, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_728x90_Guest_BL3af2c3c__, 1, 263, 4/24/2017 12:00:00 AM
29105, 320x50, _BL3af2c3c__, 29105_Camden_County_4.24.17_728x90_RampUp_BL3af2c3c__, 0, 218, 4/24/2017 12:00:00 AM
29410, 300x250, _BL7357c18__, 29410_Touchpoints_3.21.17_300x600_Bannersnack_BL7357c18__, 21, 64726, 4/1/2017 12:00:00 AM
29903, 300x250, _BL5343db6__, 29903_Law_Office_of_Eric_Cedillo_4.12.17_300x250_BL5343db6__, 30, 57032, 4/12/2017 12:00:00 AM
29903, 300x250, _BL5343db6__, 29903_Law_Office_of_Eric_Cedillo_4.12.17_728X90_BL5343db6__, 10, 31950, 4/12/2017 12:00:00 AM
29903, 300x250, _BL5343db6__, 29903_Law_Office_of_Eric_Cedillo_6.25.15_300x250_BL5343db6__, 3, 6840, 4/1/2017 12:00:00 AM
29903, 300x250, _BL5343db6__, 29903_Law_Office_of_Eric_Cedillo_6.25.15_728X90_BL5343db6__, 2, 3277, 4/1/2017 12:00:00 AM
31352, 320x50, _BL7057529__, 31352_TSLV_4.7.17_300x250_BL7057529__, 61, 20549, 4/8/2017 12:00:00 AM
31352, 320x50, _BL7057529__, 31352_TSLV_4.7.17_320x50_BL7057529__, 19, 20571, 4/8/2017 12:00:00 AM
31758, 300x250, _BLd8141bd__, 31758_Hermann_Sons_4.13.17_300x250_BLd8141bd__, 55, 49860, 4/13/2017 12:00:00 AM
31758, 300x250, _BLd8141bd__, 31758_Hermann_Sons_4.13.17_300x600_BLd8141bd__, 7, 6679, 4/13/2017 12:00:00 AM
31758, 300x250, _BLd8141bd__, 31758_Hermann_Sons_4.13.17_728x90_BLd8141bd__, 7, 10662, 4/13/2017 12:00:00 AM
31813, 300x250, _BL7eac742__, 31813_Peconic_Bay_Medical_Center_2.24.17_300x250_BL7eac742__, 0, 3, 4/5/2017 12:00:00 AM
31813, 300x250, _BL7eac742__, 31813_Peconic_Bay_Medical_Center_2.24.17_300x600_BL7eac742__, 0, 3, 4/5/2017 12:00:00 AM
31813, 300x250, _BL7eac742__, 31813_Peconic_Bay_Medical_Center_2.24.17_728x90_BL7eac742__, 0, 3, 4/5/2017 12:00:00 AM
31813, 300x250, _BL7eac742__, 31813_Peconic_Bay_Medical_Center_4.4.17_300x250_BL7eac742__, 3, 8880, 4/4/2017 12:00:00 AM
31813, 300x250, _BL7eac742__, 31813_Peconic_Bay_Medical_Center_4.4.17_300x600_BL7eac742__, 0, 1446, 4/4/2017 12:00:00 AM
31813, 300x250, _BL7eac742__, 31813_Peconic_Bay_Medical_Center_4.4.17_728x90_BL7eac742__, 1, 7655, 4/4/2017 12:00:00 AM
31878, 300x250, _BL2e87593__, 31878_Mark_Chevrolet_4.12.17_300x250_Cruze17_BL2e87593__, 0, 4681, 4/17/2017 12:00:00 AM
31878, 300x250, _BL2e87593__, 31878_Mark_Chevrolet_4.12.17_300x250_Equinox_BL2e87593__, 0, 6162, 4/17/2017 12:00:00 AM
